UT;DI;TI;CR;Freq1AU;FreqTT;DOI_CR;Ref_ID
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Lawson B, 2009, J PROD INNOVAT MANAG, V26, P156, DOI 10.1111/j.1540-5885.2009.00343.x;4;4;10.1111/j.1540-5885.2009.00343.x;doi1597
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Lear, 2019, LEAR GENTH LAUNCH JO;1;1;;ref0310
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Li Y, 2009, TECHNOVATION, V29, P843, DOI 10.1016/j.technovation.2009.08.001;3;3;10.1016/j.technovation.2009.08.001;doi0904
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Lind JT, 2010, OXFORD B ECON STAT, V72, P109, DOI 10.1111/j.1468-0084.2009.00569.x;1;1;10.1111/j.1468-0084.2009.00569.x;doi1581
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Lorrain Francois, 1971, J MATH SOCIOL, V1, P49, DOI 10.1080/0022250X.1971.9989788, DOI 10.1080/0022250X.1971.9989788;3;3;10.1080/0022250X.1971.9989788, 10.1080/0022250X.1971.9989788;doi1150
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Mahr D, 2014, J PROD INNOVAT MANAG, V31, P599, DOI 10.1111/jpim.12116;1;1;10.1111/jpim.12116;doi1682
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Marsden PV, 2002, SOC NETWORKS, V24, P407, DOI 10.1016/S0378-8733(02)00016-3;1;1;10.1016/S0378-8733(02)00016-3;doi0963
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;MAYER RC, 1995, ACAD MANAGE REV, V20, P709, DOI 10.2307/258792;1;1;10.2307/258792;doi2249
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;McFadden D., 1974, J PUBLIC ECON, V3, P303, DOI DOI 10.1016/0047-2727(74)90003-6;1;1;10.1016/0047-2727(74)90003-6;doi0389
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Moran P, 1999, ACAD MANAGE REV, V24, P390, DOI 10.5465/AMR.1999.2202128;2;2;10.5465/AMR.1999.2202128;doi2408
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Moran P, 2005, STRATEGIC MANAGE J, V26, P1129, DOI 10.1002/smj.486;2;2;10.1002/smj.486;doi0180
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Morgan K, 2007, REG STUD, V41, pS147, DOI 10.1080/00343400701232322;1;1;10.1080/00343400701232322;doi1152
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Morosini P, 1998, J INT BUS STUD, V29, P137, DOI 10.1057/palgrave.jibs.8490029;2;2;10.1057/palgrave.jibs.8490029;doi1077
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Nahapiet J, 1998, ACAD MANAGE REV, V23, P242, DOI 10.2307/259373;9;9;10.2307/259373;doi2269
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Narasimhan R, 2013, J SUPPLY CHAIN MANAG, V49, P27, DOI 10.1111/jscm.12026;3;3;10.1111/jscm.12026;doi1688
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Nelson G., 2015, SUPPLIERS TEAM PROVI;1;1;;ref0405
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Norton EC, 2004, STATA J, V4, P154, DOI 10.1177/1536867X0400400206;2;2;10.1177/1536867X0400400206;doi1921
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;OLIVER C, 1991, ACAD MANAGE REV, V16, P145, DOI 10.2307/258610;1;1;10.2307/258610;doi2245
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Perry-Smith JE, 2017, ACAD MANAGE REV, V42, P53, DOI 10.5465/amr.2014.0462;1;1;10.5465/amr.2014.0462;doi2443
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Ribbink D, 2014, J OPER MANAG, V32, P114, DOI 10.1016/j.jom.2014.01.004;1;1;10.1016/j.jom.2014.01.004;doi0781
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Rindfleisch A, 2001, J MARKETING, V65, P1, DOI 10.1509/jmkg.65.2.1.18253;2;2;10.1509/jmkg.65.2.1.18253;doi2066
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Rost K, 2011, RES POLICY, V40, P588, DOI 10.1016/j.respol.2010.12.001;1;1;10.1016/j.respol.2010.12.001;doi0868
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;"Rowley T, 2000, STRATEGIC MANAGE J, V21, P369, DOI 10.1002/(SICI)1097-0266(200003)21:3<369::AID-SMJ93>3.0.CO;2-M";1;1;"10.1002/(SICI)1097-0266(200003)21:3<369::AID-SMJ93>3.0.CO;2-M";doi0014
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Rowley TJ, 1997, ACAD MANAGE REV, V22, P887, DOI 10.2307/259248;1;1;10.2307/259248;doi2263
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;SAGE L, 2000, WINNING INNOVATION R;1;1;;ref0484
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;SAILER LD, 1978, SOC NETWORKS, V1, P73, DOI 10.1016/0378-8733(78)90014-X;1;1;10.1016/0378-8733(78)90014-X;doi0407
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Sako M, 1998, J ECON BEHAV ORGAN, V34, P387, DOI 10.1016/S0167-2681(97)00082-6;1;1;10.1016/S0167-2681(97)00082-6;doi0938
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Schiele H, 2006, IND MARKET MANAG, V35, P925, DOI 10.1016/j.indmarman.2006.05.003;1;1;10.1016/j.indmarman.2006.05.003;doi0606
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Schilling MA, 2007, MANAGE SCI, V53, P1113, DOI 10.1287/mnsc.1060.0624;1;1;10.1287/mnsc.1060.0624;doi1961
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Sedgwick D., 2013, AUTOMOTIVE NEWS;1;1;;ref0495
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Shapiro D., 2017, NVIDIA WINS COVETED;1;1;;ref0499
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Smals RGM, 2012, IND MARKET MANAG, V41, P156, DOI 10.1016/j.indmarman.2011.11.022;1;1;10.1016/j.indmarman.2011.11.022;doi0618
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Song M, 2008, J OPER MANAG, V26, P1, DOI 10.1016/j.jom.2007.06.001;1;1;10.1016/j.jom.2007.06.001;doi0753
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Tracey M, 2013, J PURCH SUPPLY MANAG, V19, P98, DOI 10.1016/j.pursup.2013.02.004;1;1;10.1016/j.pursup.2013.02.004;doi0850
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Train K., 1986, QUALITATIVE CHOICE A;2;2;;ref0544
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Tsai WP, 1998, ACAD MANAGE J, V41, P464, DOI 10.2307/257085;6;6;10.2307/257085;doi2233
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;van der Valk W, 2016, J PURCH SUPPLY MANAG, V22, P266, DOI 10.1016/j.pursup.2016.06.005;1;1;10.1016/j.pursup.2016.06.005;doi0854
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Vargo SL, 2008, J ACAD MARKET SCI, V36, P1, DOI 10.1007/s11747-007-0069-6;1;1;10.1007/s11747-007-0069-6;doi0369
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Villena VH, 2011, J OPER MANAG, V29, P561, DOI 10.1016/j.jom.2010.09.001;3;3;10.1016/j.jom.2010.09.001;doi0767
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Wagner S. M., 2003, J SUPPLY CHAIN MANAG, V39, P4, DOI DOI 10.1111/J.1745-493X.2003.TB00160.X;1;6;10.1111/J.1745-493X.2003.TB00160.X;doi1645
WOS:000494958200001;10.1002/joom.1063;Supplier innovation value from a buyer-supplier structural equivalence view: Evidence from the PACE awards in the automotive industry;Wagner SM, 2014, J OPER MANAG, V32, P65, DOI 10.1016/j.jom.2013.11.001;1;6;10.1016/j.jom.2013.11.001;doi0779
